txn_id,day,date_time,sort_code,account_from,business_individual,entity_id,channel,beneficiary,category,sort_code_to,account_to,country,currency,amount,_balance_
1911630000000.0,Wednesday,2020-01-01T12:17:08.08,02-51-87,1911631,Business,26598,Debit Card,"Clarke, Barrett, Chapman-Brown Ltd",Eating out,02-51-45,91110829,United Kingdom,GBP,-22.56,587.45
1911630000000.0,Thursday,2020-01-02T14:22:42.42,02-51-87,1911631,Business,14569,Debit Card,"Wood, Jones, Nicholls, Birch, Allen, Hartley, Warren, Lee and Thomas ",Clothing & Footwear,02-41-45,34908423,United Kingdom,GBP,-49.95,537.51
1911630000000.0,Thursday,2020-01-02T15:37:26.26,02-51-87,1911631,Business,43766,Mobile Payment,"Webb-Fraser, Brown, Wood, Archer and Williams Ltd",Expenses,02-31-87,97221623,United Kingdom,GBP,-54.98,482.53
1911630000000.0,Friday,2020-01-03T10:29:34.34,02-51-87,1911631,Business,10541,Debit Card,"Abbott, Turner, Bond, Joyce, Thomas, Fleming, Walker LLC",Clothing & Footwear,02-21-42,59308065,United Kingdom,GBP,-35.12,447.41
1911630000000.0,Monday,2020-01-06T08:58:08.08,02-51-87,1911631,Business,8433,Debit Card,"Davies, Hartley, Kerr, Phillips, Robertson-Gray Ltd",Shopping,02-31-45,39554381,United Kingdom,GBP,-22.98,424.43
1911630000000.0,Monday,2020-01-06T10:30:35.35,02-51-87,1911631,Business,167,Debit Card,"Naylor-Reed, Coles, Ford, Rhodes, Hanson, Clark and Hussain ",Shopping,02-51-74,10062809,United Kingdom,GBP,-16.53,407.9
1911630000000.0,Monday,2020-01-06T13:04:05.05,02-51-87,1911631,Business,25549,Debit Card,"Taylor-McCarthy, Martin, Harding, Marsh, Sykes, Daly and Richardson LLC",Groceries,02-20-87,72548747,United Kingdom,GBP,-33.87,374.03
1911630000000.0,Monday,2020-01-06T18:01:44.44,02-51-87,1911631,Business,1703,Direct Debit,"Read-Atkins, Hall, Goddard, Wallis, Evans, White and Nelson ",Entertainment,02-40-26,16777141,United Kingdom,GBP,-7.88,366.15
1911630000000.0,Tuesday,2020-01-07T09:40:02.02,02-51-87,1911631,Business,3304,Debit Card,"Wright, Crawford, Campbell, McCarthy, Carter, Douglas, Brown-Douglas LLC",Shopping,02-21-74,13556298,United Kingdom,GBP,-16.27,349.88
1911630000000.0,Tuesday,2020-01-07T14:01:49.49,02-51-87,1911631,Business,1703,Direct Debit,"Read-Atkins, Hall, Goddard, Wallis, Evans, White and Nelson ",Entertainment,02-40-26,16777141,United Kingdom,GBP,-6.19,343.68
